gap;text;ios;ios_chrf;android;android_chrf;gold
99.1;Smażyłaś kiedykolwiek rybę na grillu?;Have you ever grilled fish?;100.0;?;0.9;Have you ever grilled fish?
98.8;Obowiązek ponad wszystko.;Duty above all.;100.0;OBLIGATION ONLY.;1.2;Duty above all.
98.7;Pozwę cię do sądu.;I'll sue you.;100.0;SEAFT YOU TO THE COURT.;1.3;I'll sue you.
98.6;Spadaj stąd!;Get out of here!;100.0;Falling!;1.4;Get out of here!
98.6;Wiwatowali.;They cheered.;100.0;Wiwatowali.;1.4;They cheered.
98.5;Słuchałyśmy.;We listened.;100.0;Słuchałyśmy.;1.5;We listened.
98.2;Pościłyśmy.;We fasted.;100.0;Pościłyśmy.;1.8;We fasted.
98.2;Pościliśmy.;We fasted.;100.0;Pościliśmy.;1.8;We fasted.
98.2;Nie klnij publicznie.;Don't swear in public.;100.0;DO NOT YOUR PROPERT.;1.8;Don't swear in public.
98.1;Przegrałaś.;You lost.;100.0;Przegrałaś.;1.9;You lost.
