pl;en
Pogoda pogarszała się z upływem dnia.;The weather was getting worse and worse as the day went on.
Mam w pokoju niezły burdel.;My room is a mess.
Jestem w ciąży.;I'm pregnant.
On ją kocha.;He loves her.
Przyjdź też jutro!;Come again tomorrow.
On jest Anglikiem.;He's an Englishman.
Ta skrzynka zawiera pięć jabłek.;This box contains five apples.
To jest tego samego koloru co moje.;That is the same color as mine.
Proszę bardzo, nie ma za co.;You're welcome.
Bez obaw.;Fear nothing.
Ładna dziś pogoda.;Today the weather is nice.
Dobranoc, Timmy.;Good night, Timmy!
Nie rozumiem.;I don't understand.
Nie wiem.;I don't know.
Dobre pytanie.;Good question!
To za drogo!;It's too expensive!
Cały dzień grałem w tenisa.;I played tennis all day.
Czy mówi pan po angielsku?;Do you speak English?
Uważa się, ze to ważna sprawa.;It's considered to be an important matter.
Nie jesteś winien tego wypadku.;You are not to blame for the accident.
Nasz ogród był zachwaszczony.;Our garden was full of weeds.
Obudziła się.;She woke up.
Jest zależny finansowo od swej żony.;He's financially dependent on his wife.
Spójrz na ten dym.;Look at that smoke.
Proszę, na przyszłość bardziej uważaj.;Please take more care in the future.
Astronomia zajmuje się gwiazdami i planetami.;Astronomy deals with the stars and planets.
Z daleka wygląda to na piłkę.;Seen from a distance, it looks like a ball.
Popełniłem koszmarny błąd.;I made a nightmarish mistake.
Sędzia skazał go na rok pozbawienia wolności.;The judge sentenced him to one year's imprisonment.
Co się zdarzyło na tym skrzyżowaniu?;What happened at that crossing?
On nigdy nie traci nadziei.;He never loses hope.
Uszczęśliwił rodziców.;He made his parents happy.
Wrócił z Chin.;He came back from China.
Czasami śni mi się dom.;I sometimes dream of home.
Powiedziałem sobie: to dobry pomysł.;I said to myself, "That's a good idea."
Zaproszono mnie na wycieczkę zagraniczną, ale nie chcę jechać.;I've been invited on a trip abroad, but I don't want to go.
Mówi pan po angielsku?;Do you speak English?
Mój dom jest duży.;My house is big.
Nie lubię szkoły.;I don't like school.
Nie mówię po japońsku.;I don't speak Japanese.
Rak to wielki wróg ludzkości.;Cancer is a great enemy of humanity.
Oto nasza szkoła.;That is our school.
Lubię jazz.;I like jazz.
Pojechałem autostradą numer 58.;I took Highway 58.
Dziewczyny sprzeciwiły się naszemu planowi.;The girls objected to our plan.
To zdjęcie zrobiono w Narze.;This photo was taken in Nara.
W moim poduszkowcu jest pełno węgorzy.;My hovercraft is full of eels.
Jaka pogoda?;How is the weather?
Zaraz wracam.;I will be back soon.
Hiszpania jest krajem demokratycznym od 1975 roku.;Spain has been a democracy since 1975.
Późno już.;It's already late.
Przepraszam bardzo.;I'm so sorry.
Gdzie on się urodził?;Where was he born?
Zgubił się pan?;Are you lost?
Mam pytanie.;I have a question.
Kocham cię.;I love you.
Jeszcze nie odzyskał przytomności.;He has not yet recovered consciousness.
Staruszek lubi przesadzać.;The old man tends to exaggerate.
Japonia zużywa dużo papieru.;Japan consumes a lot of paper.
Nie przywykłem do publicznych wystąpień.;I am not accustomed to making speeches in public.
Jestem głodny jak wilk.;I'm as hungry as a bear.
Co znaczy to słowo?;What does this word mean?
Sen jest ważny, ale po co istnieje - to stanowi zagadkę.;Despite the importance of sleep, its purpose is a mystery.
Jest biedna, ale szczęśliwa.;She is poor, but she is happy.
Nie chcieć oznacza mieć.;Not wanting is the same as having.
Musisz iść.;You must go.
Hasło brzmi „Muiriel”.;The password is "Muiriel".
Jesteśmy szczęśliwi.;We are happy.
W naszych szacunkach założyliśmy margines błędu.;We left a margin for error in our estimates.
Muszę iść po zakupy, będę za godzinę.;I have to go shopping. I'll be back in an hour.
Nie należę do żadnego klubu.;I don't belong to any club.
Jesteś pewien?;Are you sure?
Gdzie są moje okulary?;Where are my glasses?
Matka była wykończona.;The mother was exhausted.
Nie licz na jego pomoc.;Don't count on his help.
Dziewczyna, która rozmawia z Johnem, to Susan.;The girl talking with John is Susan.
Wierzę w tę metodę nauczania.;I believe in this method of teaching.
Cześć, jestem Nancy.;Hello, I am Nancy.
Co robisz?;What are you doing?
Muiriel ma teraz 20 lat.;Muiriel is 20 now.
Nie zapominaj, że mamy zadanie domowe.;Don't forget that we have homework.
Chciałbym filiżankę kawy.;I would like a cup of coffee.
Pamiętasz mnie?;Do you remember me?
To jest mojego brata.;It's my brother's.
Nie brakuje niczego.;Nothing is missing.
Weź książkę i przeczytaj ją!;Take a book and read it.
Kiedy byłem mały, czytałem godzinami, sam w swoim pokoju.;When I was a child, I spent many hours reading alone in my room.
Pamiętam pierwszy raz.;I remember the first time.
Poczta przychodzi przed południem.;The mail arrives before noon.
Nie, to nie jest mój nowy chłopak.;No, he's not my new boyfriend.
Zamówiłem dwa hamburgery.;I ordered two hamburgers.
Świeczka sama zgasła.;The candle went out of itself.
Wczoraj było trzęsienie ziemi.;There was an earthquake yesterday.
Ci, co go znają, lubią go.;Those who know him like him.
Ściany mają uszy.;The walls have ears.
Zawołajcie policję!;Call the police!
Czy mówi pan po włosku?;Do you speak Italian?
Właśnie miałem wychodzić, kiedy zadzwonił telefon.;I was just about to go out, when the bell rang.
Smacznego!;Enjoy your meal!
Bez wątpienia Wszechświat jest nieskończony.;There's no doubt: the universe is infinite.
