text;translation;gold
Pogoda pogarszała się z upływem dnia.;The weather worsened over the day.;The weather was getting worse and worse as the day went on.
Mam w pokoju niezły burdel.;I have a good brothel in my room.;My room is a mess.
Jestem w ciąży.;I'm pregnant.;I'm pregnant.
On ją kocha.;He loves her.;He loves her.
Przyjdź też jutro!;Come tomorrow too!;Come again tomorrow.
On jest Anglikiem.;He is English.;He's an Englishman.
Ta skrzynka zawiera pięć jabłek.;This box contains five apples.;This box contains five apples.
To jest tego samego koloru co moje.;It's the same color as mine.;That is the same color as mine.
Proszę bardzo, nie ma za co.;Here you go, you're welcome.;You're welcome.
Bez obaw.;No worries.;Fear nothing.
Ładna dziś pogoda.;Nice weather today.;Today the weather is nice.
Dobranoc, Timmy.;Good night, Timmy.;Good night, Timmy!
Nie rozumiem.;I don't understand.;I don't understand.
Nie wiem.;I don't know.;I don't know.
Dobre pytanie.;Good question.;Good question!
To za drogo!;It's too expensive!;It's too expensive!
Cały dzień grałem w tenisa.;I played tennis all day.;I played tennis all day.
Czy mówi pan po angielsku?;Do you speak English?;Do you speak English?
Uważa się, ze to ważna sprawa.;This is considered an important matter.;It's considered to be an important matter.
Nie jesteś winien tego wypadku.;You are not to blame for this accident.;You are not to blame for the accident.
Nasz ogród był zachwaszczony.;Our garden was weeded.;Our garden was full of weeds.
Obudziła się.;She woke up.;She woke up.
Jest zależny finansowo od swej żony.;He is financially dependent on his wife.;He's financially dependent on his wife.
Spójrz na ten dym.;Look at that smoke.;Look at that smoke.
Proszę, na przyszłość bardziej uważaj.;Please be more careful for the future.;Please take more care in the future.
Astronomia zajmuje się gwiazdami i planetami.;Astronomy deals with stars and planets.;Astronomy deals with the stars and planets.
Z daleka wygląda to na piłkę.;From a distance it looks like a ball.;Seen from a distance, it looks like a ball.
Popełniłem koszmarny błąd.;I made a nightmare mistake.;I made a nightmarish mistake.
Sędzia skazał go na rok pozbawienia wolności.;The judge sentenced him to one year in prison.;The judge sentenced him to one year's imprisonment.
Co się zdarzyło na tym skrzyżowaniu?;What happened at this intersection?;What happened at that crossing?
On nigdy nie traci nadziei.;He never loses hope.;He never loses hope.
Uszczęśliwił rodziców.;He made his parents happy.;He made his parents happy.
Wrócił z Chin.;He came back from China.;He came back from China.
Czasami śni mi się dom.;Sometimes I dream of a house.;I sometimes dream of home.
Powiedziałem sobie: to dobry pomysł.;I said to myself: it's a good idea.;I said to myself, "That's a good idea."
