direction;winner;gap;text;ios;ios_score;android;android_score;gold
en-pl;ios;98.2270;Endure!;Wytrzymaj!;100.0000;Znosić!;1.7730;Wytrzymaj!
en-pl;ios;97.9167;Run.;Biegnij.;100.0000;Uruchom.;2.0833;Biegnij.
en-pl;ios;97.9167;Squeeze.;Ściśnij.;100.0000;Squeeze.;2.0833;Ściśnij.
en-pl;ios;97.8903;Suck my dick!;Ssij mojego kutasa!;100.0000;SSSE MY DICK!;2.1097;Ssij mojego kutasa!
en-pl;ios;97.8070;Dunno.;Nie wiem.;100.0000;Dunno.;2.1930;Nie wiem.
en-pl;ios;97.6852;Nonsense.;Bzdura.;100.0000;Nonsens.;2.3148;Bzdura.
en-pl;ios;97.6190;Leave!;Odejdź!;100.0000;Zostaw!;2.3810;Odejdź!
en-pl;ios;97.6190;Look!;Spójrz!;100.0000;Wygląd!;2.3810;Spójrz!
en-pl;ios;97.5490;Heads up!;Uwaga!;100.0000;Głębienie!;2.4510;Uwaga!
en-pl;ios;97.2222;Hello.;Cześć.;100.0000;Witam.;2.7778;Cześć.
en-pl;ios;97.2222;Check around.;Rozejrzyj się.;100.0000;Sprawdź.;2.7778;Rozejrzyj się.
en-pl;ios;96.9136;Hi.;Cześć.;100.0000;Hi.;3.0864;Cześć.
en-pl;ios;96.7320;Gross.;Obrzydliwe.;100.0000;Brutto.;3.2680;Obrzydliwe.
en-pl;ios;96.5986;Did you sign?;Podpisałeś?;100.0000;Znak?;3.4014;Podpisałeś?
en-pl;ios;96.5986;Hello sir!;Witam pana!;100.0000;Cześć Sir!;3.4014;Witam pana!
en-pl;ios;96.5278;Perfect!;Doskonale!;100.0000;Perfect!;3.4722;Doskonale!
en-pl;ios;96.5278;He struck a match.;Zapalił zapałkę.;100.0000;Uderzył mecz.;3.4722;Zapalił zapałkę.
en-pl;ios;96.5278;Proceed!;Kontynuuj!;100.0000;Przejdź!;3.4722;Kontynuuj!
en-pl;ios;96.4539;Careful!;Ostrożnie!;100.0000;Uważaj!;3.5461;Ostrożnie!
en-pl;ios;96.2963;What are you?;Kim jesteś?;100.0000;Co ty?;3.7037;Kim jesteś?
en-pl;android;-97.8632;Nonsense!;Bzdura!;2.1368;Nonsens!;100.0000;Nonsens!
en-pl;android;-95.6710;What is his age?;Ile ma lat?;4.3290;Jaki jest jego wiek?;100.0000;Jaki jest jego wiek?
en-pl;android;-95.6140;Shit!;Gówno!;4.3860;Cholera!;100.0000;Cholera!
en-pl;android;-94.8980;I'm frightened.;Jestem przerażony.;5.1020;Boję się.;100.0000;Boję się.
en-pl;android;-94.7917;Start!;Zacznij!;5.2083;Start!;100.0000;Start!
en-pl;android;-94.2083;You're back.;Wróciłeś.;5.7917;Jesteś z powrotem.;100.0000;Jesteś z powrotem.
en-pl;android;-93.9394;Did you make it?;Udało ci się?;6.0606;Zrobiłeś to?;100.0000;Zrobiłeś to?
en-pl;android;-92.5595;I've got a toothache.;Boli mnie ząb.;7.4405;Mam ból zęba.;100.0000;Mam ból zęba.
en-pl;android;-92.4242;I see.;Rozumiem.;7.5758;Widzę.;100.0000;Widzę.
en-pl;android;-92.2009;Say hello.;Przywitaj się.;7.7991;Powiedz cześć.;100.0000;Powiedz cześć.
en-pl;android;-92.1265;Are you studying?;Uczysz się?;7.8735;Studiujesz?;100.0000;Studiujesz?
en-pl;android;-91.5404;Try this on.;Przymierz to.;8.4596;Spróbuj tego.;100.0000;Spróbuj tego.
en-pl;android;-90.5660;He was following him.;Podążał za nim.;9.4340;Śledził go.;100.0000;Śledził go.
en-pl;android;-89.8112;Clearly!;Jasne!;10.1888;Wyraźnie!;100.0000;Wyraźnie!
en-pl;android;-89.4481;Why?;Dlaczego?;10.5519;Czemu?;100.0000;Czemu?
