gap;text;ios;ios_chrf;android;android_chrf;gold
83.0;It's my brother's.;To jest mojego brata.;100.0;To mój brat.;17.0;To jest mojego brata.
81.3;He's an Englishman.;On jest Anglikiem.;100.0;Jest angielski.;18.7;On jest Anglikiem.
79.4;He is English.;On jest Anglikiem.;100.0;Jest angielskim.;20.6;On jest Anglikiem.
48.0;He made his parents happy.;Uszczęśliwił swoich rodziców.;80.3;Zrobił rodzice.;32.3;Uszczęśliwił rodziców.
47.3;It's considered to be an important matter.;Uważa się, że jest to ważna sprawa.;77.2;Jest uważany za ważną sprawę.;29.9;Uważa się, ze to ważna sprawa.
45.6;What are you doing?;Co robisz?;100.0;Co ty robisz;54.4;Co robisz?
45.2;The weather was getting worse and worse as the day went on.;Pogoda pogarszała się w miarę upływu dnia.;70.7;Pogoda była gorsza i gorsza, ponieważ dzień poszedł dalej.;25.5;Pogoda pogarszała się z upływem dnia.
43.9;I made a nightmarish mistake.;Popełniłem koszmarny błąd.;100.0;Zrobiłem koszmarowy błąd.;56.1;Popełniłem koszmarny błąd.
35.7;I'm so sorry.;Bardzo mi przykro.;24.2;Przepraszam.;59.8;Przepraszam bardzo.
31.5;The candle went out of itself.;Świeca sama się zgasła.;54.3;Świeca wyszła z siebie.;22.8;Świeczka sama zgasła.
