text;translation;gold
Pogoda pogarszała się z upływem dnia.;The weather was deteriorated over the day.;The weather was getting worse and worse as the day went on.
Mam w pokoju niezły burdel.;I have a good brothel in the room.;My room is a mess.
Jestem w ciąży.;I am pregnant.;I'm pregnant.
On ją kocha.;He loves her.;He loves her.
Przyjdź też jutro!;Come also tomorrow!;Come again tomorrow.
On jest Anglikiem.;He is English.;He's an Englishman.
To jest tego samego koloru co moje.;This is the same color as mine.;That is the same color as mine.
Ta skrzynka zawiera pięć jabłek.;This box contains five apples.;This box contains five apples.
Bez obaw.;Without worried.;Fear nothing.
Proszę bardzo, nie ma za co.;Please, you're welcome.;You're welcome.
Ładna dziś pogoda.;Nice weather today.;Today the weather is nice.
Dobranoc, Timmy.;Good night, Timmy.;Good night, Timmy!
Nie rozumiem.;I do not understand.;I don't understand.
Nie wiem.;I do not know.;I don't know.
To za drogo!;It's too expensive!;It's too expensive!
Dobre pytanie.;A good question.;Good question!
Cały dzień grałem w tenisa.;I played tennis all day.;I played tennis all day.
Czy mówi pan po angielsku?;Do you speak English?;Do you speak English?
Uważa się, ze to ważna sprawa.;It is believed that this is an important matter.;It's considered to be an important matter.
Nie jesteś winien tego wypadku.;You are not guilty of this accident.;You are not to blame for the accident.
Nasz ogród był zachwaszczony.;Our garden was energized.;Our garden was full of weeds.
Obudziła się.;She woke up.;She woke up.
Jest zależny finansowo od swej żony.;It is financially dependent on your wife.;He's financially dependent on his wife.
Spójrz na ten dym.;Look at this smoke.;Look at that smoke.
Proszę, na przyszłość bardziej uważaj.;Please, for the future more watch out.;Please take more care in the future.
Astronomia zajmuje się gwiazdami i planetami.;Astronomy deals with stars and planets.;Astronomy deals with the stars and planets.
Z daleka wygląda to na piłkę.;From a distance it looks on the ball.;Seen from a distance, it looks like a ball.
Popełniłem koszmarny błąd.;I made a nightmare error.;I made a nightmarish mistake.
Sędzia skazał go na rok pozbawienia wolności.;The judge sentenced him for a year imprisonment.;The judge sentenced him to one year's imprisonment.
Co się zdarzyło na tym skrzyżowaniu?;What happened at this intersection?;What happened at that crossing?
On nigdy nie traci nadziei.;He never loses hope.;He never loses hope.
Uszczęśliwił rodziców.;He made parents happy.;He made his parents happy.
Wrócił z Chin.;He came back from China.;He came back from China.
Czasami śni mi się dom.;Sometimes the house is dreaming.;I sometimes dream of home.
Powiedziałem sobie: to dobry pomysł.;I told myself: it's a good idea.;I said to myself, "That's a good idea."
Zaproszono mnie na wycieczkę zagraniczną, ale nie chcę jechać.;I was invited to a foreign trip, but I do not want to go.;I've been invited on a trip abroad, but I don't want to go.
Mówi pan po angielsku?;Are you in English?;Do you speak English?
Mój dom jest duży.;My house is big.;My house is big.
Nie lubię szkoły.;I do not like school.;I don't like school.
Nie mówię po japońsku.;I'm not talking about Japanese.;I don't speak Japanese.
Rak to wielki wróg ludzkości.;Rak is a great enemy of humanity.;Cancer is a great enemy of humanity.
Oto nasza szkoła.;Here is our school.;That is our school.
Lubię jazz.;I like jazz.;I like jazz.
Pojechałem autostradą numer 58.;I went highway number 58.;I took Highway 58.
Dziewczyny sprzeciwiły się naszemu planowi.;The girls opposed our plan.;The girls objected to our plan.
To zdjęcie zrobiono w Narze.;This picture was taken in a computer.;This photo was taken in Nara.
W moim poduszkowcu jest pełno węgorzy.;In my pillows, it is full of eels.;My hovercraft is full of eels.
Jaka pogoda?;What weather?;How is the weather?
Zaraz wracam.;I'll come back soon.;I will be back soon.
Hiszpania jest krajem demokratycznym od 1975 roku.;Spain is a democratic country since 1975.;Spain has been a democracy since 1975.
Późno już.;Late.;It's already late.
Przepraszam bardzo.;I'm sorry.;I'm so sorry.
Gdzie on się urodził?;Where was he born?;Where was he born?
Zgubił się pan?;Did you get lost?;Are you lost?
Mam pytanie.;I have a question.;I have a question.
Kocham cię.;I love you.;I love you.
Jeszcze nie odzyskał przytomności.;He did not regain consciousness yet.;He has not yet recovered consciousness.
Staruszek lubi przesadzać.;Older likes to overdo.;The old man tends to exaggerate.
Japonia zużywa dużo papieru.;Japan consumes a lot of paper.;Japan consumes a lot of paper.
Nie przywykłem do publicznych wystąpień.;I did not get public speeches.;I am not accustomed to making speeches in public.
Jestem głodny jak wilk.;I'm hungry like a wolf.;I'm as hungry as a bear.
Co znaczy to słowo?;What does this word mean?;What does this word mean?
Sen jest ważny, ale po co istnieje - to stanowi zagadkę.;Dream is important, but why exists - it is a mystery.;Despite the importance of sleep, its purpose is a mystery.
Jest biedna, ale szczęśliwa.;It is poor but happy.;She is poor, but she is happy.
Nie chcieć oznacza mieć.;Do not want to mean.;Not wanting is the same as having.
Musisz iść.;You must go.;You must go.
Hasło brzmi „Muiriel”.;The password is "Muiriel".;The password is "Muiriel".
Jesteśmy szczęśliwi.;We are happy.;We are happy.
W naszych szacunkach założyliśmy margines błędu.;In our estimates, we set the margin of error.;We left a margin for error in our estimates.
Muszę iść po zakupy, będę za godzinę.;I have to go shopping, I will be an hour.;I have to go shopping. I'll be back in an hour.
Nie należę do żadnego klubu.;I do not belong to any club.;I don't belong to any club.
Jesteś pewien?;Are you sure?;Are you sure?
Gdzie są moje okulary?;Where are my glasses?;Where are my glasses?
Matka była wykończona.;The mother was finished.;The mother was exhausted.
Nie licz na jego pomoc.;Do not count on his help.;Don't count on his help.
Dziewczyna, która rozmawia z Johnem, to Susan.;The girl who talks to John is Susan.;The girl talking with John is Susan.
Wierzę w tę metodę nauczania.;I believe in this method of teaching.;I believe in this method of teaching.
