en;pl
The weather was getting worse and worse as the day went on.;Pogoda pogarszała się z upływem dnia.
My room is a mess.;Mam w pokoju niezły burdel.
I'm pregnant.;Jestem w ciąży.
He loves her.;On ją kocha.
Come again tomorrow.;Przyjdź też jutro!
He's an Englishman.;On jest Anglikiem.
He is English.;On jest Anglikiem.
This box contains five apples.;Ta skrzynka zawiera pięć jabłek.
That is the same color as mine.;To jest tego samego koloru co moje.
You're welcome.;Proszę bardzo, nie ma za co.
Fear nothing.;Bez obaw.
Today the weather is nice.;Ładna dziś pogoda.
It's nice today.;Ładna dziś pogoda.
Good night, Timmy!;Dobranoc, Timmy.
Goodnight, Timmy.;Dobranoc, Timmy.
I don't understand.;Nie rozumiem.
I don't know.;Nie wiem.
Good question!;Dobre pytanie.
It's too expensive!;To za drogo!
I played tennis all day.;Cały dzień grałem w tenisa.
Do you speak English?;Czy mówi pan po angielsku?
It's considered to be an important matter.;Uważa się, ze to ważna sprawa.
You are not to blame for the accident.;Nie jesteś winien tego wypadku.
Our garden was full of weeds.;Nasz ogród był zachwaszczony.
She woke up.;Obudziła się.
He's financially dependent on his wife.;Jest zależny finansowo od swej żony.
Look at that smoke.;Spójrz na ten dym.
Please take more care in the future.;Proszę, na przyszłość bardziej uważaj.
Astronomy deals with the stars and planets.;Astronomia zajmuje się gwiazdami i planetami.
Seen from a distance, it looks like a ball.;Z daleka wygląda to na piłkę.
I made a nightmarish mistake.;Popełniłem koszmarny błąd.
The judge sentenced him to one year's imprisonment.;Sędzia skazał go na rok pozbawienia wolności.
What happened at that crossing?;Co się zdarzyło na tym skrzyżowaniu?
He never loses hope.;On nigdy nie traci nadziei.
He made his parents happy.;Uszczęśliwił rodziców.
He came back from China.;Wrócił z Chin.
I sometimes dream of home.;Czasami śni mi się dom.
I said to myself, "That's a good idea.";Powiedziałem sobie: to dobry pomysł.
I've been invited on a trip abroad, but I don't want to go.;Zaproszono mnie na wycieczkę zagraniczną, ale nie chcę jechać.
My house is big.;Mój dom jest duży.
I don't like school.;Nie lubię szkoły.
I don't speak Japanese.;Nie mówię po japońsku.
Cancer is a great enemy of humanity.;Rak to wielki wróg ludzkości.
That is our school.;Oto nasza szkoła.
I like jazz.;Lubię jazz.
I took Highway 58.;Pojechałem autostradą numer 58.
The girls objected to our plan.;Dziewczyny sprzeciwiły się naszemu planowi.
This photo was taken in Nara.;To zdjęcie zrobiono w Narze.
My hovercraft is full of eels.;W moim poduszkowcu jest pełno węgorzy.
How is the weather?;Jaka pogoda?
What's the weather like?;Jaka pogoda?
I will be back soon.;Zaraz wracam.
Spain has been a democracy since 1975.;Hiszpania jest krajem demokratycznym od 1975 roku.
It's already late.;Późno już.
I'm so sorry.;Przepraszam bardzo.
Where was he born?;Gdzie on się urodził?
Are you lost?;Zgubił się pan?
I have a question.;Mam pytanie.
I've got a question.;Mam pytanie.
I love you.;Kocham cię.
He has not yet recovered consciousness.;Jeszcze nie odzyskał przytomności.
The old man tends to exaggerate.;Staruszek lubi przesadzać.
Japan consumes a lot of paper.;Japonia zużywa dużo papieru.
I am not accustomed to making speeches in public.;Nie przywykłem do publicznych wystąpień.
I'm as hungry as a bear.;Jestem głodny jak wilk.
I'm as hungry as a horse.;Jestem głodny jak wilk.
What does this word mean?;Co znaczy to słowo?
Despite the importance of sleep, its purpose is a mystery.;Sen jest ważny, ale po co istnieje - to stanowi zagadkę.
She is poor, but she is happy.;Jest biedna, ale szczęśliwa.
Not wanting is the same as having.;Nie chcieć oznacza mieć.
You must go.;Musisz iść.
The password is "Muiriel".;Hasło brzmi „Muiriel”.
We are happy.;Jesteśmy szczęśliwi.
We left a margin for error in our estimates.;W naszych szacunkach założyliśmy margines błędu.
I have to go shopping. I'll be back in an hour.;Muszę iść po zakupy, będę za godzinę.
I don't belong to any club.;Nie należę do żadnego klubu.
Are you sure?;Jesteś pewien?
Where are my glasses?;Gdzie są moje okulary?
The mother was exhausted.;Matka była wykończona.
Don't count on his help.;Nie licz na jego pomoc.
The girl talking with John is Susan.;Dziewczyna, która rozmawia z Johnem, to Susan.
I believe in this method of teaching.;Wierzę w tę metodę nauczania.
Hello, I am Nancy.;Cześć, jestem Nancy.
What are you doing?;Co robisz?
What do you make?;Co robisz?
Muiriel is 20 now.;Muiriel ma teraz 20 lat.
Don't forget that we have homework.;Nie zapominaj, że mamy zadanie domowe.
I would like a cup of coffee.;Chciałbym filiżankę kawy.
Do you remember me?;Pamiętasz mnie?
It's my brother's.;To jest mojego brata.
Nothing is missing.;Nie brakuje niczego.
Take a book and read it.;Weź książkę i przeczytaj ją!
When I was a child, I spent many hours reading alone in my room.;Kiedy byłem mały, czytałem godzinami, sam w swoim pokoju.
When I was little, I read for hours alone in my room.;Kiedy byłem mały, czytałem godzinami, sam w swoim pokoju.
I remember the first time.;Pamiętam pierwszy raz.
The mail arrives before noon.;Poczta przychodzi przed południem.
No, he's not my new boyfriend.;Nie, to nie jest mój nowy chłopak.
I ordered two hamburgers.;Zamówiłem dwa hamburgery.
The candle went out of itself.;Świeczka sama zgasła.
The candle went out by itself.;Świeczka sama zgasła.
