direction;winner;gap;text;ios;ios_score;android;android_score;gold
en-pl;ios;100.0000;He's an Englishman.;On jest Anglikiem.;100.0000;Jest angielski.;0.0000;On jest Anglikiem.
en-pl;ios;100.0000;He is English.;On jest Anglikiem.;100.0000;Jest angielskim.;0.0000;On jest Anglikiem.
en-pl;ios;100.0000;How much does this cost?;Ile to kosztuje?;100.0000;Ile kosztuje?;0.0000;Ile to kosztuje?
en-pl;ios;100.0000;He's kicking me!;On mnie kopie!;100.0000;Kopa mnie!;0.0000;On mnie kopie!
en-pl;ios;100.0000;She turned down his invitation.;Odrzuciła jego zaproszenie.;100.0000;Odrzuciła zaproszenie.;0.0000;Odrzuciła jego zaproszenie.
en-pl;ios;100.0000;Will he die?;Czy on umrze?;100.0000;Czy umrze?;0.0000;Czy on umrze?
en-pl;ios;100.0000;Please close the door.;Proszę zamknąć drzwi.;100.0000;Zamknij drzwi.;0.0000;Proszę zamknąć drzwi.
en-pl;ios;100.0000;That's a table.;To jest stół.;100.0000;To stół.;0.0000;To jest stół.
en-pl;ios;100.0000;He eats a lot.;On dużo je.;100.0000;Dużo je.;0.0000;On dużo je.
en-pl;ios;100.0000;She attempted suicide.;Próbowała popełnić samobójstwo.;100.0000;Próbowała samobójstwo.;0.0000;Próbowała popełnić samobójstwo.
en-pl;ios;100.0000;He is still standing.;On wciąż stoi.;100.0000;Nadal stoi.;0.0000;On wciąż stoi.
en-pl;ios;100.0000;He can swim.;On umie pływać.;100.0000;Może pływać.;0.0000;On umie pływać.
en-pl;ios;100.0000;Try it again.;Spróbuj jeszcze raz.;100.0000;Spróbuj ponownie.;0.0000;Spróbuj jeszcze raz.
en-pl;ios;100.0000;I know the girl.;Znam tę dziewczynę.;100.0000;Znam dziewczynę.;0.0000;Znam tę dziewczynę.
en-pl;ios;100.0000;I went fishing.;Poszedłem na ryby.;100.0000;Poszedłem połowów.;0.0000;Poszedłem na ryby.
en-pl;ios;100.0000;He does not smoke.;On nie pali.;100.0000;Nie palący.;0.0000;On nie pali.
en-pl;ios;100.0000;He left the room.;Wyszedł z pokoju.;100.0000;Opuścił pokój.;0.0000;Wyszedł z pokoju.
en-pl;ios;100.0000;He is sick.;On jest chory.;100.0000;Jest chory.;0.0000;On jest chory.
en-pl;ios;100.0000;He's strong.;On jest silny.;100.0000;Jest silny.;0.0000;On jest silny.
en-pl;ios;100.0000;She likes to run.;Ona lubi biegać.;100.0000;Lubi biegać.;0.0000;Ona lubi biegać.
en-pl;android;-100.0000;We train every day.;Trenujemy codziennie.;0.0000;Trenujemy każdego dnia.;100.0000;Trenujemy każdego dnia.
en-pl;android;-100.0000;Do you like ginger?;Lubisz imbir?;0.0000;Czy lubisz imbir?;100.0000;Czy lubisz imbir?
en-pl;android;-100.0000;Do you watch the news?;Oglądasz wiadomości?;0.0000;Czy oglądasz wiadomości?;100.0000;Czy oglądasz wiadomości?
en-pl;android;-100.0000;Shall I leave?;Mam wyjść?;0.0000;Czy mam wyjść?;100.0000;Czy mam wyjść?
en-pl;android;-100.0000;Would you like a dog?;Chciałbyś psa?;0.0000;Czy chciałbyś psa?;100.0000;Czy chciałbyś psa?
en-pl;android;-100.0000;Don't tell lies.;Nie kłam.;0.0000;Nie mów kłamstw.;100.0000;Nie mów kłamstw.
en-pl;android;-100.0000;He became a cab driver.;Został taksówkarzem.;0.0000;Został kierowcą taksówki.;100.0000;Został kierowcą taksówki.
en-pl;android;-100.0000;I knew how to swim.;Umiem pływać.;0.0000;Wiedziałem, jak pływać.;100.0000;Wiedziałem, jak pływać.
en-pl;android;-100.0000;Are you making progress?;Robisz postępy?;0.0000;Czy robisz postępy?;100.0000;Czy robisz postępy?
en-pl;android;-100.0000;You're grumpy.;Jesteś zrzędliwy.;0.0000;Jesteś w złym humorze.;100.0000;Jesteś w złym humorze.
en-pl;android;-100.0000;You're back.;Wróciłeś.;0.0000;Jesteś z powrotem.;100.0000;Jesteś z powrotem.
en-pl;android;-100.0000;Do you like singing?;Lubisz śpiewać?;0.0000;Czy lubisz śpiewać?;100.0000;Czy lubisz śpiewać?
en-pl;android;-100.0000;Time is running out.;Czas ucieka.;0.0000;Czas się kończy.;100.0000;Czas się kończy.
en-pl;android;-100.0000;I'm not going to say no.;Nie odmówię.;0.0000;Nie powiem nie.;100.0000;Nie powiem nie.
en-pl;android;-100.0000;Do you like to write?;Lubisz pisać?;0.0000;Czy lubisz pisać?;100.0000;Czy lubisz pisać?
en-pl;android;-100.0000;He took off his shirt.;Zdjął koszulę.;0.0000;Zdjął swoją koszulę.;100.0000;Zdjął swoją koszulę.
en-pl;android;-100.0000;Do you recognize anyone?;Rozpoznajesz kogoś?;0.0000;Czy rozpoznajesz kogoś?;100.0000;Czy rozpoznajesz kogoś?
en-pl;android;-100.0000;Do you like to sing?;Lubisz śpiewać?;0.0000;Czy lubisz śpiewać?;100.0000;Czy lubisz śpiewać?
en-pl;android;-100.0000;He will be back tomorrow.;Wróci jutro.;0.0000;On wróci jutro.;100.0000;On wróci jutro.
en-pl;android;-100.0000;Can you come?;Możesz przyjść?;0.0000;Czy możesz przyjść?;100.0000;Czy możesz przyjść?
pl-en;ios;100.0000;Smacznego!;Enjoy your meal!;100.0000;Tasty!;0.0000;Enjoy your meal!
pl-en;ios;100.0000;Zemścił się.;He took revenge.;100.0000;He wrote.;0.0000;He took revenge.
pl-en;ios;100.0000;Nienawidzili się.;They hated each other.;100.0000;They hated.;0.0000;They hated each other.
pl-en;ios;100.0000;Ugotuj ryż.;Cook the rice.;100.0000;Cook rice.;0.0000;Cook the rice.
pl-en;ios;100.0000;Pamiętasz?;Do you remember?;100.0000;Remember?;0.0000;Do you remember?
pl-en;ios;100.0000;Bardzo tu gorąco.;It's very hot here.;100.0000;Very hot.;0.0000;It's very hot here.
pl-en;ios;100.0000;Wysiada pan?;Are you getting off?;100.0000;Gentlemen?;0.0000;Are you getting off?
pl-en;ios;100.0000;Rozumiesz?;Do you understand?;100.0000;Understand?;0.0000;Do you understand?
pl-en;ios;100.0000;Rozbieram się.;I'm undressing.;100.0000;I undress.;0.0000;I'm undressing.
pl-en;ios;100.0000;Śniadanie gotowe.;Breakfast is ready.;100.0000;Breakfast ready.;0.0000;Breakfast is ready.
pl-en;ios;100.0000;W jakim celu?;For what purpose?;100.0000;What purpose?;0.0000;For what purpose?
pl-en;ios;100.0000;Dzwoniłeś?;Did you call?;100.0000;Dzwoniłeś?;0.0000;Did you call?
pl-en;ios;100.0000;To praca.;It's work.;100.0000;This work.;0.0000;It's work.
pl-en;ios;100.0000;Psy szczekają.;Dogs are barking.;100.0000;Dogs bark.;0.0000;Dogs are barking.
pl-en;ios;100.0000;Proszę wejdź.;Please come in.;100.0000;Please enter.;0.0000;Please come in.
pl-en;ios;100.0000;Nikt nie wie.;No one knows.;100.0000;Nobody knows.;0.0000;No one knows.
pl-en;ios;100.0000;Tom się zranił.;Tom hurt himself.;100.0000;Tom hurt.;0.0000;Tom hurt himself.
