direction;winner;gap;text;ios;ios_score;android;android_score;gold
en-pl;ios;0.2354;He's an Englishman.;On jest Anglikiem.;1.0000;Jest angielski.;0.7646;On jest Anglikiem.
en-pl;ios;0.2207;He is English.;On jest Anglikiem.;1.0000;Jest angielskim.;0.7793;On jest Anglikiem.
en-pl;ios;0.2104;The weather was getting worse and worse as the day went on.;Pogoda pogarszała się w miarę upływu dnia.;0.9423;Pogoda była gorsza i gorsza, ponieważ dzień poszedł dalej.;0.7319;Pogoda pogarszała się z upływem dnia.
en-pl;ios;0.1802;He made his parents happy.;Uszczęśliwił swoich rodziców.;0.9725;Zrobił rodzice.;0.7923;Uszczęśliwił rodziców.
en-pl;ios;0.1731;You're welcome.;Nie ma za co.;0.8511;Zapraszamy.;0.6779;Proszę bardzo, nie ma za co.
en-pl;ios;0.1568;I took Highway 58.;Pojechałem autostradą 58.;0.9608;Wziąłem autostradę 58.;0.8040;Pojechałem autostradą numer 58.
en-pl;ios;0.1524;What are you doing?;Co robisz?;1.0000;Co ty robisz;0.8476;Co robisz?
en-pl;ios;0.1386;It's my brother's.;To jest mojego brata.;1.0000;To mój brat.;0.8614;To jest mojego brata.
en-pl;ios;0.1355;Please take more care in the future.;Proszę, zachowaj więcej ostrożności w przyszłości.;0.8213;W przyszłości wziąć więcej opieki.;0.6858;Proszę, na przyszłość bardziej uważaj.
en-pl;ios;0.1300;It's considered to be an important matter.;Uważa się, że jest to ważna sprawa.;0.9318;Jest uważany za ważną sprawę.;0.8018;Uważa się, ze to ważna sprawa.
en-pl;ios;0.0982;When I was little, I read for hours alone in my room.;Kiedy byłem mały, czytałem godzinami sam w swoim pokoju.;0.9696;Kiedy byłem mały, czytam przez wiele godzin w moim pokoju.;0.8713;Kiedy byłem mały, czytałem godzinami, sam w swoim pokoju.
en-pl;ios;0.0960;He never loses hope.;On nigdy nie traci nadziei.;1.0000;Nigdy nie traci nadziei.;0.9040;On nigdy nie traci nadziei.
en-pl;ios;0.0944;The candle went out by itself.;Świeca zgasła sama.;0.9244;Świeca wyszła sama sama.;0.8300;Świeczka sama zgasła.
en-pl;ios;0.0914;The candle went out of itself.;Świeca sama się zgasła.;0.9254;Świeca wyszła z siebie.;0.8339;Świeczka sama zgasła.
en-pl;ios;0.0900;Not wanting is the same as having.;Nie chcieć to to samo, co mieć.;0.8675;Nie chce, jest taki sam jak posiadanie.;0.7775;Nie chcieć oznacza mieć.
en-pl;ios;0.0825;I made a nightmarish mistake.;Popełniłem koszmarny błąd.;1.0000;Zrobiłem koszmarowy błąd.;0.9175;Popełniłem koszmarny błąd.
en-pl;ios;0.0716;Nothing is missing.;Niczego nie brakuje.;0.8862;Nic nie brakuje.;0.8146;Nie brakuje niczego.
en-pl;ios;0.0678;Are you lost?;Zgubiłeś się?;0.8897;Jesteś zgubiony?;0.8219;Zgubił się pan?
en-pl;ios;0.0676;The judge sentenced him to one year's imprisonment.;Sędzia skazał go na rok więzienia.;0.9197;Sędzia skierował go do jednego roku uwięzienia.;0.8522;Sędzia skazał go na rok pozbawienia wolności.
en-pl;ios;0.0663;The old man tends to exaggerate.;Starzec ma tendencję do przesadzania.;0.8381;Stary człowiek ma tendencję do przesadnej.;0.7718;Staruszek lubi przesadzać.
en-pl;android;-0.0545;I'm so sorry.;Bardzo mi przykro.;0.6898;Przepraszam.;0.7444;Przepraszam bardzo.
en-pl;android;-0.0480;I sometimes dream of home.;Czasami śnię o domu.;0.8105;Czasami marzę o domu.;0.8585;Czasami śni mi się dom.
en-pl;android;-0.0433;"I said to myself, ""That's a good idea.""";"Powiedziałem sobie: ""To dobry pomysł"".";0.9310;Powiedziałem sobie - to dobry pomysł.;0.9743;Powiedziałem sobie: to dobry pomysł.
en-pl;android;-0.0244;Despite the importance of sleep, its purpose is a mystery.;Pomimo znaczenia snu, jego celem jest tajemnica.;0.7136;Pomimo znaczenia snu, jego cel jest tajemnicą.;0.7381;Sen jest ważny, ale po co istnieje - to stanowi zagadkę.
en-pl;android;-0.0163;Don't forget that we have homework.;Nie zapominaj, że mamy pracę domową.;0.9518;Nie zapomnij, że mamy zadanie domowe.;0.9681;Nie zapominaj, że mamy zadanie domowe.
en-pl;android;-0.0133;The mail arrives before noon.;Poczta dociera przed południem.;0.9587;Poczta przybywa przed południem.;0.9720;Poczta przychodzi przed południem.
en-pl;android;-0.0119;Fear nothing.;Nie bój się niczego.;0.6263;Nic nie baw się.;0.6383;Bez obaw.
en-pl;android;-0.0119;This box contains five apples.;To pudełko zawiera pięć jabłek.;0.8829;To pole zawiera pięć jabłek.;0.8948;Ta skrzynka zawiera pięć jabłek.
en-pl;android;-0.0072;"The password is ""Muiriel"".";"Hasło to ""Muiriel"".";0.8500;"Hasło jest ""Muiriel"".";0.8572;Hasło brzmi „Muiriel”.
en-pl;android;-0.0033;When I was a child, I spent many hours reading alone in my room.;Kiedy byłem dzieckiem, spędzałem wiele godzin czytając sam w swoim pokoju.;0.8562;Kiedy byłem dzieckiem, spędziłem wiele godzin, czytając sam w moim pokoju.;0.8595;Kiedy byłem mały, czytałem godzinami, sam w swoim pokoju.
en-pl;android;-0.0009;That is the same color as mine.;To jest ten sam kolor co mój.;0.8931;To jest taki sam kolor jak mój.;0.8940;To jest tego samego koloru co moje.
en-pl;android;-0.0000;I've got a question.;Mam pytanie.;1.0000;Mam pytanie.;1.0000;Mam pytanie.
en-pl;android;-0.0000;I have a question.;Mam pytanie.;1.0000;Mam pytanie.;1.0000;Mam pytanie.
en-pl;android;-0.0000;I don't know.;Nie wiem.;1.0000;Nie wiem.;1.0000;Nie wiem.
en-pl;android;-0.0000;We are happy.;Jesteśmy szczęśliwi.;1.0000;Jesteśmy szczęśliwi.;1.0000;Jesteśmy szczęśliwi.
en-pl;android;-0.0000;I love you.;Kocham cię.;1.0000;Kocham cię.;1.0000;Kocham cię.
en-pl;android;0.0000;I ordered two hamburgers.;Zamówiłem dwa hamburgery.;1.0000;Zamówiłem dwa hamburgery.;1.0000;Zamówiłem dwa hamburgery.
en-pl;android;0.0000;No, he's not my new boyfriend.;Nie, on nie jest moim nowym chłopakiem.;0.9197;Nie, on nie jest moim nowym chłopakiem.;0.9197;Nie, to nie jest mój nowy chłopak.
en-pl;android;0.0000;Do you remember me?;Pamiętasz mnie?;1.0000;Pamiętasz mnie?;1.0000;Pamiętasz mnie?
en-pl;android;0.0000;I would like a cup of coffee.;Chciałbym filiżankę kawy.;1.0000;Chciałbym filiżankę kawy.;1.0000;Chciałbym filiżankę kawy.
pl-en;ios;0.1222;Smacznego!;Enjoy your meal!;1.0000;Tasty!;0.8778;Enjoy your meal!
pl-en;ios;0.1218;Nie brakuje niczego.;Nothing is missing.;1.0000;There is no lack of anything.;0.8782;Nothing is missing.
pl-en;ios;0.1033;Nie mówię po japońsku.;I don't speak Japanese.;1.0000;I'm not talking about Japanese.;0.8967;I don't speak Japanese.
pl-en;ios;0.0801;Późno już.;It's late.;0.9719;Late.;0.8918;It's already late.
pl-en;ios;0.0733;Staruszek lubi przesadzać.;The old man likes to exaggerate.;0.9884;Older likes to overdo.;0.9152;The old man tends to exaggerate.
pl-en;ios;0.0720;Nie chcieć oznacza mieć.;Not wanting means not wanting to have.;0.9369;Do not want to mean.;0.8649;Not wanting is the same as having.
pl-en;ios;0.0693;Poczta przychodzi przed południem.;The post office arrives before noon.;0.9536;Post comes from the south.;0.8843;The mail arrives before noon.
pl-en;ios;0.0634;Wczoraj było trzęsienie ziemi.;There was an earthquake yesterday.;1.0000;Yesterday was the earthquake.;0.9366;There was an earthquake yesterday.
pl-en;ios;0.0631;To zdjęcie zrobiono w Narze.;This photo was taken in Nara.;1.0000;This picture was taken in a computer.;0.9369;This photo was taken in Nara.
pl-en;ios;0.0604;Proszę, na przyszłość bardziej uważaj.;Please be more careful for the future.;0.9566;Please, for the future more watch out.;0.8962;Please take more care in the future.
pl-en;ios;0.0596;W moim poduszkowcu jest pełno węgorzy.;My hovercoat is full of eels.;0.9818;In my pillows, it is full of eels.;0.9222;My hovercraft is full of eels.
pl-en;ios;0.0511;Mówi pan po angielsku?;Do you speak English?;1.0000;Are you in English?;0.9489;Do you speak English?
pl-en;ios;0.0509;Ściany mają uszy.;The walls have ears.;1.0000;Walls have ears.;0.9491;The walls have ears.
pl-en;ios;0.0465;Nie przywykłem do publicznych wystąpień.;I'm not used to public speaking.;0.9643;I did not get public speeches.;0.9178;I am not accustomed to making speeches in public.
pl-en;ios;0.0462;Właśnie miałem wychodzić, kiedy zadzwonił telefon.;I was about to leave when the phone rang.;0.9596;I just had to leave when the phone rang.;0.9134;I was just about to go out, when the bell rang.
pl-en;ios;0.0456;Zgubił się pan?;Are you lost?;1.0000;Did you get lost?;0.9544;Are you lost?
