direction;winner;gap;text;ios;ios_score;android;android_score;gold
en-pl;ios;82.9661;It's my brother's.;To jest mojego brata.;100.0000;To mój brat.;17.0339;To jest mojego brata.
en-pl;ios;81.3146;He's an Englishman.;On jest Anglikiem.;100.0000;Jest angielski.;18.6854;On jest Anglikiem.
en-pl;ios;79.3773;He is English.;On jest Anglikiem.;100.0000;Jest angielskim.;20.6227;On jest Anglikiem.
en-pl;ios;47.9883;He made his parents happy.;Uszczęśliwił swoich rodziców.;80.3138;Zrobił rodzice.;32.3255;Uszczęśliwił rodziców.
en-pl;ios;47.3347;It's considered to be an important matter.;Uważa się, że jest to ważna sprawa.;77.2336;Jest uważany za ważną sprawę.;29.8988;Uważa się, ze to ważna sprawa.
en-pl;ios;45.6098;What are you doing?;Co robisz?;100.0000;Co ty robisz;54.3902;Co robisz?
en-pl;ios;45.2374;The weather was getting worse and worse as the day went on.;Pogoda pogarszała się w miarę upływu dnia.;70.7336;Pogoda była gorsza i gorsza, ponieważ dzień poszedł dalej.;25.4961;Pogoda pogarszała się z upływem dnia.
en-pl;ios;43.8957;I made a nightmarish mistake.;Popełniłem koszmarny błąd.;100.0000;Zrobiłem koszmarowy błąd.;56.1043;Popełniłem koszmarny błąd.
en-pl;ios;31.4564;The candle went out of itself.;Świeca sama się zgasła.;54.2967;Świeca wyszła z siebie.;22.8403;Świeczka sama zgasła.
en-pl;ios;31.1299;I took Highway 58.;Pojechałem autostradą 58.;75.0891;Wziąłem autostradę 58.;43.9592;Pojechałem autostradą numer 58.
en-pl;ios;29.3709;When I was little, I read for hours alone in my room.;Kiedy byłem mały, czytałem godzinami sam w swoim pokoju.;92.7265;Kiedy byłem mały, czytam przez wiele godzin w moim pokoju.;63.3556;Kiedy byłem mały, czytałem godzinami, sam w swoim pokoju.
en-pl;ios;29.1157;I remember the first time.;Pamiętam pierwszy raz.;100.0000;Pamiętam po raz pierwszy.;70.8843;Pamiętam pierwszy raz.
en-pl;ios;27.5506;You're welcome.;Nie ma za co.;35.7238;Zapraszamy.;8.1732;Proszę bardzo, nie ma za co.
en-pl;ios;26.2071;He has not yet recovered consciousness.;Nie odzyskał jeszcze przytomności.;74.6272;Nie odzyskał jeszcze świadomości.;48.4201;Jeszcze nie odzyskał przytomności.
en-pl;ios;24.5166;The judge sentenced him to one year's imprisonment.;Sędzia skazał go na rok więzienia.;56.9806;Sędzia skierował go do jednego roku uwięzienia.;32.4640;Sędzia skazał go na rok pozbawienia wolności.
en-pl;ios;24.3853;Are you lost?;Zgubiłeś się?;41.6506;Jesteś zgubiony?;17.2653;Zgubił się pan?
en-pl;ios;23.7149;Not wanting is the same as having.;Nie chcieć to to samo, co mieć.;48.5095;Nie chce, jest taki sam jak posiadanie.;24.7946;Nie chcieć oznacza mieć.
en-pl;ios;21.5013;The candle went out by itself.;Świeca zgasła sama.;57.1874;Świeca wyszła sama sama.;35.6861;Świeczka sama zgasła.
en-pl;ios;19.0664;I've been invited on a trip abroad, but I don't want to go.;Zostałem zaproszony na wycieczkę zagraniczną, ale nie chcę jechać.;83.3087;Zostałem zaproszony na wycieczkę za granicą, ale nie chcę iść.;64.2423;Zaproszono mnie na wycieczkę zagraniczną, ale nie chcę jechać.
