direction;winner;gap;text;ios;ios_score;android;android_score;gold
en-pl;ios;100.0000;He's an Englishman.;On jest Anglikiem.;100.0000;Jest angielski.;0.0000;On jest Anglikiem.
en-pl;ios;100.0000;He is English.;On jest Anglikiem.;100.0000;Jest angielskim.;0.0000;On jest Anglikiem.
en-pl;ios;70.4120;It's my brother's.;To jest mojego brata.;100.0000;To mój brat.;29.5880;To jest mojego brata.
en-pl;ios;66.0191;I remember the first time.;Pamiętam pierwszy raz.;100.0000;Pamiętam po raz pierwszy.;33.9809;Pamiętam pierwszy raz.
en-pl;ios;54.8199;I made a nightmarish mistake.;Popełniłem koszmarny błąd.;100.0000;Zrobiłem koszmarowy błąd.;45.1801;Popełniłem koszmarny błąd.
en-pl;ios;50.0000;He made his parents happy.;Uszczęśliwił swoich rodziców.;50.0000;Zrobił rodzice.;0.0000;Uszczęśliwił rodziców.
en-pl;ios;46.4037;I've been invited on a trip abroad, but I don't want to go.;Zostałem zaproszony na wycieczkę zagraniczną, ale nie chcę jechać.;80.3362;Zostałem zaproszony na wycieczkę za granicą, ale nie chcę iść.;33.9325;Zaproszono mnie na wycieczkę zagraniczną, ale nie chcę jechać.
en-pl;ios;42.7046;The judge sentenced him to one year's imprisonment.;Sędzia skazał go na rok więzienia.;60.9824;Sędzia skierował go do jednego roku uwięzienia.;18.2778;Sędzia skazał go na rok pozbawienia wolności.
en-pl;ios;42.2614;When I was little, I read for hours alone in my room.;Kiedy byłem mały, czytałem godzinami sam w swoim pokoju.;76.1939;Kiedy byłem mały, czytam przez wiele godzin w moim pokoju.;33.9325;Kiedy byłem mały, czytałem godzinami, sam w swoim pokoju.
en-pl;ios;41.2773;You're welcome.;Nie ma za co.;41.2773;Zapraszamy.;0.0000;Proszę bardzo, nie ma za co.
en-pl;ios;40.8454;She is poor, but she is happy.;Jest biedna, ale szczęśliwa.;100.0000;Jest biedna, ale jest szczęśliwa.;59.1546;Jest biedna, ale szczęśliwa.
en-pl;ios;38.4216;He never loses hope.;On nigdy nie traci nadziei.;100.0000;Nigdy nie traci nadziei.;61.5784;On nigdy nie traci nadziei.
en-pl;ios;38.3369;It's considered to be an important matter.;Uważa się, że jest to ważna sprawa.;52.1695;Jest uważany za ważną sprawę.;13.8325;Uważa się, ze to ważna sprawa.
en-pl;ios;37.9918;Come again tomorrow.;Przyjdź ponownie jutro.;37.9918;Przyjdź jutro.;0.0000;Przyjdź też jutro!
en-pl;ios;31.9472;I'm so sorry.;Bardzo mi przykro.;31.9472;Przepraszam.;0.0000;Przepraszam bardzo.
en-pl;ios;27.7763;I'm as hungry as a horse.;Jestem głodny jak koń.;53.1830;Jestem tak głodny jako konia.;25.4066;Jestem głodny jak wilk.
en-pl;ios;23.2854;The weather was getting worse and worse as the day went on.;Pogoda pogarszała się w miarę upływu dnia.;34.9267;Pogoda była gorsza i gorsza, ponieważ dzień poszedł dalej.;11.6413;Pogoda pogarszała się z upływem dnia.
en-pl;ios;22.0995;When I was a child, I spent many hours reading alone in my room.;Kiedy byłem dzieckiem, spędzałem wiele godzin czytając sam w swoim pokoju.;40.0858;Kiedy byłem dzieckiem, spędziłem wiele godzin, czytając sam w moim pokoju.;17.9863;Kiedy byłem mały, czytałem godzinami, sam w swoim pokoju.
en-pl;ios;21.1656;The girls objected to our plan.;Dziewczyny sprzeciwiały się naszemu planowi.;63.8943;Dziewczyny sprzeciwiły się naszym planie.;42.7287;Dziewczyny sprzeciwiły się naszemu planowi.
en-pl;ios;20.7162;I'm as hungry as a bear.;Jestem głodny jak niedźwiedź.;53.1830;Jestem tak głodny jak niedźwiedź.;32.4668;Jestem głodny jak wilk.
en-pl;android;-27.0815;"I said to myself, ""That's a good idea.""";"Powiedziałem sobie: ""To dobry pomysł"".";32.0732;Powiedziałem sobie - to dobry pomysł.;59.1546;Powiedziałem sobie: to dobry pomysł.
en-pl;android;-14.2726;Don't forget that we have homework.;Nie zapominaj, że mamy pracę domową.;60.4948;Nie zapomnij, że mamy zadanie domowe.;74.7674;Nie zapominaj, że mamy zadanie domowe.
en-pl;android;-3.3728;It's too expensive!;To jest zbyt drogie!;28.5744;Jest zbyt drogie!;31.9472;To za drogo!
en-pl;android;-3.0529;I played tennis all day.;Grałem w tenisa przez cały dzień.;27.1608;Grałem przez cały dzień tenisa.;30.2138;Cały dzień grałem w tenisa.
en-pl;android;0.0000;I ordered two hamburgers.;Zamówiłem dwa hamburgery.;100.0000;Zamówiłem dwa hamburgery.;100.0000;Zamówiłem dwa hamburgery.
en-pl;android;0.0000;No, he's not my new boyfriend.;Nie, on nie jest moim nowym chłopakiem.;23.9803;Nie, on nie jest moim nowym chłopakiem.;23.9803;Nie, to nie jest mój nowy chłopak.
en-pl;android;0.0000;The mail arrives before noon.;Poczta dociera przed południem.;53.1830;Poczta przybywa przed południem.;53.1830;Poczta przychodzi przed południem.
en-pl;android;0.0000;Nothing is missing.;Niczego nie brakuje.;37.9918;Nic nie brakuje.;37.9918;Nie brakuje niczego.
en-pl;android;0.0000;Do you remember me?;Pamiętasz mnie?;0.0000;Pamiętasz mnie?;0.0000;Pamiętasz mnie?
en-pl;android;0.0000;I would like a cup of coffee.;Chciałbym filiżankę kawy.;100.0000;Chciałbym filiżankę kawy.;100.0000;Chciałbym filiżankę kawy.
en-pl;android;0.0000;Muiriel is 20 now.;Muiriel ma teraz 20 lat.;100.0000;Muiriel ma teraz 20 lat.;100.0000;Muiriel ma teraz 20 lat.
en-pl;android;0.0000;What do you make?;Co robisz?;0.0000;Co robisz?;0.0000;Co robisz?
en-pl;android;0.0000;What are you doing?;Co robisz?;0.0000;Co ty robisz;0.0000;Co robisz?
en-pl;android;0.0000;Hello, I am Nancy.;Cześć, jestem Nancy.;100.0000;Cześć, jestem Nancy.;100.0000;Cześć, jestem Nancy.
en-pl;android;0.0000;I believe in this method of teaching.;Wierzę w tę metodę nauczania.;100.0000;Wierzę w tę metodę nauczania.;100.0000;Wierzę w tę metodę nauczania.
en-pl;android;0.0000;The girl talking with John is Susan.;Dziewczyna rozmawiająca z Johnem to Susan.;27.6920;Dziewczyna rozmawia z Johnem jest Susan.;27.6920;Dziewczyna, która rozmawia z Johnem, to Susan.
en-pl;android;0.0000;Don't count on his help.;Nie licz na jego pomoc.;100.0000;Nie licz na jego pomoc.;100.0000;Nie licz na jego pomoc.
en-pl;android;0.0000;The mother was exhausted.;Matka była wyczerpana.;50.0000;Matka była wyczerpana.;50.0000;Matka była wykończona.
en-pl;android;0.0000;Where are my glasses?;Gdzie są moje okulary?;100.0000;Gdzie są moje okulary?;100.0000;Gdzie są moje okulary?
en-pl;android;0.0000;Are you sure?;Jesteś pewien?;0.0000;Jesteś pewien?;0.0000;Jesteś pewien?
pl-en;ios;100.0000;Smacznego!;Enjoy your meal!;100.0000;Tasty!;0.0000;Enjoy your meal!
pl-en;ios;80.7944;Nie brakuje niczego.;Nothing is missing.;100.0000;There is no lack of anything.;19.2056;Nothing is missing.
