text;translation;gold
The weather was getting worse and worse as the day went on.;Pogoda była gorsza i gorsza, ponieważ dzień poszedł dalej.;Pogoda pogarszała się z upływem dnia.
My room is a mess.;Mój pokój to bałagan.;Mam w pokoju niezły burdel.
I'm pregnant.;Jestem w ciąży.;Jestem w ciąży.
He loves her.;On ją kocha.;On ją kocha.
Come again tomorrow.;Przyjdź jutro.;Przyjdź też jutro!
He's an Englishman.;Jest angielski.;On jest Anglikiem.
He is English.;Jest angielskim.;On jest Anglikiem.
This box contains five apples.;To pole zawiera pięć jabłek.;Ta skrzynka zawiera pięć jabłek.
That is the same color as mine.;To jest taki sam kolor jak mój.;To jest tego samego koloru co moje.
You're welcome.;Zapraszamy.;Proszę bardzo, nie ma za co.
Fear nothing.;Nic nie baw się.;Bez obaw.
Today the weather is nice.;Dziś pogoda jest miła.;Ładna dziś pogoda.
It's nice today.;Dzisiaj jest miło.;Ładna dziś pogoda.
Good night, Timmy!;Dobranoc, Timmy!;Dobranoc, Timmy.
Goodnight, Timmy.;Dobranoc, Timmy.;Dobranoc, Timmy.
I don't understand.;Nie rozumiem.;Nie rozumiem.
I don't know.;Nie wiem.;Nie wiem.
Good question!;Dobre pytanie!;Dobre pytanie.
It's too expensive!;Jest zbyt drogie!;To za drogo!
I played tennis all day.;Grałem przez cały dzień tenisa.;Cały dzień grałem w tenisa.
Do you speak English?;Czy mówisz po angielsku?;Czy mówi pan po angielsku?
It's considered to be an important matter.;Jest uważany za ważną sprawę.;Uważa się, ze to ważna sprawa.
You are not to blame for the accident.;Nie jesteś winny za wypadek.;Nie jesteś winien tego wypadku.
Our garden was full of weeds.;Nasz ogród był pełen chwastów.;Nasz ogród był zachwaszczony.
She woke up.;Obudziła się.;Obudziła się.
He's financially dependent on his wife.;On jest zależny finansowo od żony.;Jest zależny finansowo od swej żony.
Look at that smoke.;Spójrz na ten dym.;Spójrz na ten dym.
Please take more care in the future.;W przyszłości wziąć więcej opieki.;Proszę, na przyszłość bardziej uważaj.
Astronomy deals with the stars and planets.;Astronomia zajmuje się gwiazdami i planetami.;Astronomia zajmuje się gwiazdami i planetami.
Seen from a distance, it looks like a ball.;Widziane z daleka, wygląda jak piłka.;Z daleka wygląda to na piłkę.
I made a nightmarish mistake.;Zrobiłem koszmarowy błąd.;Popełniłem koszmarny błąd.
The judge sentenced him to one year's imprisonment.;Sędzia skierował go do jednego roku uwięzienia.;Sędzia skazał go na rok pozbawienia wolności.
What happened at that crossing?;Co się stało na tym przejściu?;Co się zdarzyło na tym skrzyżowaniu?
He never loses hope.;Nigdy nie traci nadziei.;On nigdy nie traci nadziei.
He made his parents happy.;Zrobił rodzice.;Uszczęśliwił rodziców.
He came back from China.;Wrócił z Chin.;Wrócił z Chin.
I sometimes dream of home.;Czasami marzę o domu.;Czasami śni mi się dom.
I said to myself, "That's a good idea.";Powiedziałem sobie - to dobry pomysł.;Powiedziałem sobie: to dobry pomysł.
I've been invited on a trip abroad, but I don't want to go.;Zostałem zaproszony na wycieczkę za granicą, ale nie chcę iść.;Zaproszono mnie na wycieczkę zagraniczną, ale nie chcę jechać.
My house is big.;Mój dom jest duży.;Mój dom jest duży.
I don't like school.;Nie lubię szkoły.;Nie lubię szkoły.
I don't speak Japanese.;Nie mówię po japońsku.;Nie mówię po japońsku.
Cancer is a great enemy of humanity.;Rak jest wielkim wrogiem ludzkości.;Rak to wielki wróg ludzkości.
That is our school.;To jest nasza szkoła.;Oto nasza szkoła.
I like jazz.;Lubię jazz.;Lubię jazz.
I took Highway 58.;Wziąłem autostradę 58.;Pojechałem autostradą numer 58.
The girls objected to our plan.;Dziewczyny sprzeciwiły się naszym planie.;Dziewczyny sprzeciwiły się naszemu planowi.
This photo was taken in Nara.;To zdjęcie zostało zrobione w Nara.;To zdjęcie zrobiono w Narze.
My hovercraft is full of eels.;Mój poduszkowiec jest pełen węgorzy.;W moim poduszkowcu jest pełno węgorzy.
How is the weather?;Jaka jest pogoda?;Jaka pogoda?
What's the weather like?;Jaka jest pogoda?;Jaka pogoda?
I will be back soon.;Wkrótce wrócę.;Zaraz wracam.
Spain has been a democracy since 1975.;Hiszpania była demokracją od 1975 roku.;Hiszpania jest krajem demokratycznym od 1975 roku.
It's already late.;Jest już późno.;Późno już.
I'm so sorry.;Przepraszam.;Przepraszam bardzo.
Where was he born?;Gdzie się urodził?;Gdzie on się urodził?
Are you lost?;Jesteś zgubiony?;Zgubił się pan?
I have a question.;Mam pytanie.;Mam pytanie.
I've got a question.;Mam pytanie.;Mam pytanie.
I love you.;Kocham cię.;Kocham cię.
He has not yet recovered consciousness.;Nie odzyskał jeszcze świadomości.;Jeszcze nie odzyskał przytomności.
The old man tends to exaggerate.;Stary człowiek ma tendencję do przesadnej.;Staruszek lubi przesadzać.
Japan consumes a lot of paper.;Japonia zużywa dużo papieru.;Japonia zużywa dużo papieru.
I am not accustomed to making speeches in public.;Nie jestem przyzwyczajony do wykonywania przemówień publicznie.;Nie przywykłem do publicznych wystąpień.
I'm as hungry as a bear.;Jestem tak głodny jak niedźwiedź.;Jestem głodny jak wilk.
I'm as hungry as a horse.;Jestem tak głodny jako konia.;Jestem głodny jak wilk.
What does this word mean?;Co oznacza to słowo?;Co znaczy to słowo?
Despite the importance of sleep, its purpose is a mystery.;Pomimo znaczenia snu, jego cel jest tajemnicą.;Sen jest ważny, ale po co istnieje - to stanowi zagadkę.
She is poor, but she is happy.;Jest biedna, ale jest szczęśliwa.;Jest biedna, ale szczęśliwa.
Not wanting is the same as having.;Nie chce, jest taki sam jak posiadanie.;Nie chcieć oznacza mieć.
You must go.;Musisz iść.;Musisz iść.
The password is "Muiriel".;Hasło jest "Muiriel".;Hasło brzmi „Muiriel”.
We are happy.;Jesteśmy szczęśliwi.;Jesteśmy szczęśliwi.
We left a margin for error in our estimates.;Wyszliśmy margines na błędy w naszych szacunkach.;W naszych szacunkach założyliśmy margines błędu.
I have to go shopping. I'll be back in an hour.;Muszę iść na zakupy. Wrócę za godzinę.;Muszę iść po zakupy, będę za godzinę.
I don't belong to any club.;Nie należę do żadnego klubu.;Nie należę do żadnego klubu.
Are you sure?;Jesteś pewien?;Jesteś pewien?
Where are my glasses?;Gdzie są moje okulary?;Gdzie są moje okulary?
The mother was exhausted.;Matka była wyczerpana.;Matka była wykończona.
Don't count on his help.;Nie licz na jego pomoc.;Nie licz na jego pomoc.
The girl talking with John is Susan.;Dziewczyna rozmawia z Johnem jest Susan.;Dziewczyna, która rozmawia z Johnem, to Susan.
I believe in this method of teaching.;Wierzę w tę metodę nauczania.;Wierzę w tę metodę nauczania.
Hello, I am Nancy.;Cześć, jestem Nancy.;Cześć, jestem Nancy.
What are you doing?;Co ty robisz;Co robisz?
What do you make?;Co robisz?;Co robisz?
Muiriel is 20 now.;Muiriel ma teraz 20 lat.;Muiriel ma teraz 20 lat.
Don't forget that we have homework.;Nie zapomnij, że mamy zadanie domowe.;Nie zapominaj, że mamy zadanie domowe.
I would like a cup of coffee.;Chciałbym filiżankę kawy.;Chciałbym filiżankę kawy.
Do you remember me?;Pamiętasz mnie?;Pamiętasz mnie?
It's my brother's.;To mój brat.;To jest mojego brata.
Nothing is missing.;Nic nie brakuje.;Nie brakuje niczego.
Take a book and read it.;Weź książkę i przeczytaj go.;Weź książkę i przeczytaj ją!
When I was a child, I spent many hours reading alone in my room.;Kiedy byłem dzieckiem, spędziłem wiele godzin, czytając sam w moim pokoju.;Kiedy byłem mały, czytałem godzinami, sam w swoim pokoju.
When I was little, I read for hours alone in my room.;Kiedy byłem mały, czytam przez wiele godzin w moim pokoju.;Kiedy byłem mały, czytałem godzinami, sam w swoim pokoju.
I remember the first time.;Pamiętam po raz pierwszy.;Pamiętam pierwszy raz.
The mail arrives before noon.;Poczta przybywa przed południem.;Poczta przychodzi przed południem.
No, he's not my new boyfriend.;Nie, on nie jest moim nowym chłopakiem.;Nie, to nie jest mój nowy chłopak.
I ordered two hamburgers.;Zamówiłem dwa hamburgery.;Zamówiłem dwa hamburgery.
The candle went out of itself.;Świeca wyszła z siebie.;Świeczka sama zgasła.
The candle went out by itself.;Świeca wyszła sama sama.;Świeczka sama zgasła.
