gap;text;ios;ios_chrf;android;android_chrf;gold
96.0;Smacznego!;Enjoy your meal!;100.0;Tasty!;4.0;Enjoy your meal!
77.7;Musisz iść.;You have to go.;22.3;You must go.;100.0;You must go.
76.7;Nie brakuje niczego.;Nothing is missing.;100.0;There is no lack of anything.;23.3;Nothing is missing.
64.6;Zgubił się pan?;Are you lost?;100.0;Did you get lost?;35.4;Are you lost?
62.1;Staruszek lubi przesadzać.;The old man likes to exaggerate.;73.5;Older likes to overdo.;11.3;The old man tends to exaggerate.
60.8;Poczta przychodzi przed południem.;The post office arrives before noon.;69.8;Post comes from the south.;8.9;The mail arrives before noon.
60.7;Nie mówię po japońsku.;I don't speak Japanese.;100.0;I'm not talking about Japanese.;39.3;I don't speak Japanese.
57.5;Mówi pan po angielsku?;Do you speak English?;100.0;Are you in English?;42.5;Do you speak English?
53.9;To zdjęcie zrobiono w Narze.;This photo was taken in Nara.;100.0;This picture was taken in a computer.;46.1;This photo was taken in Nara.
50.3;Nie, to nie jest mój nowy chłopak.;No, he's not my new boyfriend.;100.0;No, this is not my new boy.;49.7;No, he's not my new boyfriend.
