gap;text;ios;ios_chrf;android;android_chrf;gold
98.2;Endure!;Wytrzymaj!;100.0;Znosić!;1.8;Wytrzymaj!
97.9;Squeeze.;Ściśnij.;100.0;Squeeze.;2.1;Ściśnij.
97.9;Run.;Biegnij.;100.0;Uruchom.;2.1;Biegnij.
97.9;Suck my dick!;Ssij mojego kutasa!;100.0;SSSE MY DICK!;2.1;Ssij mojego kutasa!
97.9;Nonsense!;Bzdura!;2.1;Nonsens!;100.0;Nonsens!
97.8;Dunno.;Nie wiem.;100.0;Dunno.;2.2;Nie wiem.
97.7;Nonsense.;Bzdura.;100.0;Nonsens.;2.3;Bzdura.
97.6;Look!;Spójrz!;100.0;Wygląd!;2.4;Spójrz!
97.6;Leave!;Odejdź!;100.0;Zostaw!;2.4;Odejdź!
97.5;Heads up!;Uwaga!;100.0;Głębienie!;2.5;Uwaga!
