direction;winner;gap;text;ios;ios_score;android;android_score;gold
en-pl;ios;0.5437;He made his parents happy.;Uszczęśliwił swoich rodziców.;0.9801;Zrobił rodzice.;0.4364;Uszczęśliwił rodziców.
en-pl;ios;0.4369;Please take more care in the future.;Proszę, zachowaj więcej ostrożności w przyszłości.;0.9384;W przyszłości wziąć więcej opieki.;0.5015;Proszę, na przyszłość bardziej uważaj.
en-pl;ios;0.3717;Not wanting is the same as having.;Nie chcieć to to samo, co mieć.;0.7889;Nie chce, jest taki sam jak posiadanie.;0.4172;Nie chcieć oznacza mieć.
en-pl;ios;0.3369;We left a margin for error in our estimates.;Zostawiliśmy margines błędu w naszych szacunkach.;0.9421;Wyszliśmy margines na błędy w naszych szacunkach.;0.6052;W naszych szacunkach założyliśmy margines błędu.
en-pl;ios;0.3062;You're welcome.;Nie ma za co.;0.8907;Zapraszamy.;0.5845;Proszę bardzo, nie ma za co.
en-pl;ios;0.3027;The old man tends to exaggerate.;Starzec ma tendencję do przesadzania.;0.9182;Stary człowiek ma tendencję do przesadnej.;0.6154;Staruszek lubi przesadzać.
en-pl;ios;0.2988;He is English.;On jest Anglikiem.;0.9914;Jest angielskim.;0.6926;On jest Anglikiem.
en-pl;ios;0.2874;Fear nothing.;Nie bój się niczego.;0.8505;Nic nie baw się.;0.5631;Bez obaw.
en-pl;ios;0.2612;The candle went out by itself.;Świeca zgasła sama.;0.9644;Świeca wyszła sama sama.;0.7032;Świeczka sama zgasła.
en-pl;ios;0.2551;I'm as hungry as a horse.;Jestem głodny jak koń.;0.9252;Jestem tak głodny jako konia.;0.6701;Jestem głodny jak wilk.
en-pl;ios;0.2430;The candle went out of itself.;Świeca sama się zgasła.;0.9555;Świeca wyszła z siebie.;0.7125;Świeczka sama zgasła.
en-pl;ios;0.2085;He's an Englishman.;On jest Anglikiem.;0.9932;Jest angielski.;0.7848;On jest Anglikiem.
en-pl;ios;0.1931;The weather was getting worse and worse as the day went on.;Pogoda pogarszała się w miarę upływu dnia.;0.9771;Pogoda była gorsza i gorsza, ponieważ dzień poszedł dalej.;0.7840;Pogoda pogarszała się z upływem dnia.
en-pl;ios;0.1241;The girl talking with John is Susan.;Dziewczyna rozmawiająca z Johnem to Susan.;0.9641;Dziewczyna rozmawia z Johnem jest Susan.;0.8400;Dziewczyna, która rozmawia z Johnem, to Susan.
en-pl;ios;0.1129;It's my brother's.;To jest mojego brata.;0.9765;To mój brat.;0.8636;To jest mojego brata.
en-pl;ios;0.0990;It's considered to be an important matter.;Uważa się, że jest to ważna sprawa.;0.9830;Jest uważany za ważną sprawę.;0.8839;Uważa się, ze to ważna sprawa.
en-pl;ios;0.0913;This box contains five apples.;To pudełko zawiera pięć jabłek.;0.9479;To pole zawiera pięć jabłek.;0.8566;Ta skrzynka zawiera pięć jabłek.
en-pl;ios;0.0905;You are not to blame for the accident.;Nie jesteś winny wypadku.;0.9572;Nie jesteś winny za wypadek.;0.8667;Nie jesteś winien tego wypadku.
en-pl;ios;0.0882;When I was little, I read for hours alone in my room.;Kiedy byłem mały, czytałem godzinami sam w swoim pokoju.;0.9804;Kiedy byłem mały, czytam przez wiele godzin w moim pokoju.;0.8922;Kiedy byłem mały, czytałem godzinami, sam w swoim pokoju.
en-pl;ios;0.0633;I took Highway 58.;Pojechałem autostradą 58.;0.9651;Wziąłem autostradę 58.;0.9018;Pojechałem autostradą numer 58.
en-pl;android;-0.0941;I'm so sorry.;Bardzo mi przykro.;0.8657;Przepraszam.;0.9598;Przepraszam bardzo.
en-pl;android;-0.0639;Despite the importance of sleep, its purpose is a mystery.;Pomimo znaczenia snu, jego celem jest tajemnica.;0.8260;Pomimo znaczenia snu, jego cel jest tajemnicą.;0.8899;Sen jest ważny, ale po co istnieje - to stanowi zagadkę.
