direction;winner;gap;text;ios;ios_score;android;android_score;gold
en-pl;ios;0.3904;Phone me tomorrow at nine o'clock.;Zadzwoń do mnie jutro o dziewiątej.;0.9485;TELEFON JUTRO JUTRO KTÓREGO O.;0.5581;Zadzwoń do mnie jutro rano o dziewiątej.
en-pl;ios;0.3875;Save Tom.;Uratuj Toma.;1.0000;Zapisz Tom.;0.6125;Uratuj Toma.
en-pl;ios;0.3740;She loves Tom.;Ona kocha Toma.;1.0000;Uwielbia Tom.;0.6260;Ona kocha Toma.
en-pl;ios;0.3728;Checkmate.;Szach mat.;1.0000;Mat.;0.6272;Szach mat.
en-pl;ios;0.3646;What are you so afraid of telling me?;Czego tak bardzo boisz się mi powiedzieć?;0.9649;CO SYKCESZ SIĘ, ŻE MNIE MNIE?;0.6003;Czego tak się boisz mi powiedzieć?
en-pl;ios;0.3507;I love games.;Uwielbiam gry.;1.0000;Kocham gry.;0.6493;Uwielbiam gry.
en-pl;ios;0.3483;We are drinking tea.;Pijemy herbatę.;1.0000;Picie herbaty.;0.6517;Pijemy herbatę.
en-pl;ios;0.3467;Let Tom know we've got a problem.;Daj znać Tomowi, że mamy problem.;1.0000;Niech Tom WIENIA Mamy problem.;0.6533;Daj znać Tomowi, że mamy problem.
en-pl;ios;0.3438;I've been watching them.;Obserwowałem ich.;1.0000;Oglądałem je.;0.6562;Obserwowałem ich.
en-pl;ios;0.3422;I guess so.;Chyba tak.;1.0000;Myślę, że tak.;0.6578;Chyba tak.
en-pl;ios;0.3422;What're you getting all excited about?;Czym się ekscytujesz?;0.9482;CO JESTEŚ CZYME CZŁOWIEK?;0.6060;Czym ty się tak ekscytujesz?
en-pl;ios;0.3419;They succeeded.;Udało im się.;1.0000;Unidli.;0.6581;Udało im się.
en-pl;ios;0.3406;Just apologize to Tom.;Po prostu przeproś Toma.;1.0000;Przepraszam Tom.;0.6594;Po prostu przeproś Toma.
en-pl;ios;0.3378;Keep looking.;Szukaj dalej.;1.0000;Patrz.;0.6622;Szukaj dalej.
en-pl;ios;0.3361;Talk to your peers.;Porozmawiaj ze swoimi rówieśnikami.;1.0000;Talk to your peers.;0.6639;Porozmawiaj ze swoimi rówieśnikami.
en-pl;ios;0.3318;It hurts.;To boli.;1.0000;Boli.;0.6682;To boli.
en-pl;ios;0.3314;I turned red.;Poczerwieniałem.;0.9314;I turned red.;0.6000;Poczerwieniałam.
en-pl;ios;0.3303;I volunteered.;Zgłosiłem się na ochotnika.;1.0000;Wolontariusz.;0.6697;Zgłosiłem się na ochotnika.
en-pl;ios;0.3298;Would Tom like that?;Czy Tomowi się to spodoba?;1.0000;Czy TO TO TO?;0.6702;Czy Tomowi się to spodoba?
en-pl;ios;0.3291;Mind your own business.;Zajmij się swoimi sprawami.;1.0000;Umysł własny biznes.;0.6709;Zajmij się swoimi sprawami.
en-pl;android;-0.3617;Watch Tom.;Uważaj na Toma.;0.6383;Oglądaj Tom.;1.0000;Oglądaj Tom.
en-pl;android;-0.3250;Well done.;Dobra robota.;0.6750;Dobrze zrobione.;1.0000;Dobrze zrobione.
en-pl;android;-0.3209;She trusts him.;Ona mu ufa.;0.6791;Ufa mu.;1.0000;Ufa mu.
en-pl;android;-0.3157;What is his age?;Ile ma lat?;0.6843;Jaki jest jego wiek?;1.0000;Jaki jest jego wiek?
en-pl;android;-0.3107;I love it.;Uwielbiam to.;0.6893;Kocham to.;1.0000;Kocham to.
en-pl;android;-0.3105;They trusted you.;Oni ci zaufali.;0.6895;Ufali ci.;1.0000;Ufali ci.
en-pl;android;-0.3060;You're OK.;Nic Ci Nie Jest.;0.6940;Jesteś w porządku.;1.0000;Jesteś w porządku.
en-pl;android;-0.3034;Let's work.;Chodźmy pracować.;0.6966;Pracujmy.;1.0000;Pracujmy.
en-pl;android;-0.3031;We love it.;Uwielbiamy to.;0.6969;Kochamy to.;1.0000;Kochamy to.
en-pl;android;-0.2982;Tom's missing.;Tom zaginął.;0.7018;Brakuje Toma.;1.0000;Brakuje Toma.
en-pl;android;-0.2948;He is playing.;On się bawi.;0.7052;On gra.;1.0000;On gra.
